w, EngraverFontSet 119;
h, EngraverFontSet -100;
q, EngraverFontSet -20;
wr, EngraverFontSet -31 0;
hr, EngraverFontSet -108 0;
qr, EngraverFontSet -21 0;
er, EngraverFontSet -118 0;
sr, EngraverFontSet -127 0;
32r, EngraverFontSet -84 0;
xr, EngraverFontSet -127 0;
yr, EngraverFontSet -84 0;
x, EngraverFontExtras 120;
X, EngraverFontExtras 88;
d, EngraverFontExtras 116;
D, EngraverFontExtras 84;
t, EngraverFontExtras 49;
T, EngraverFontExtras 33;
i, EngraverFontExtras 45;
I, EngraverFontExtras 95;
b, EngraverFontExtras 54;
B, EngraverFontExtras 94;
l, EngraverFontExtras 83;
L, EngraverFontExtras 83;
